,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
951,HRES636,Providing for consideration of the bill (H.R. 1908) to amend title 35 United States Code to provide for patent reform.,,D,2007-09-06,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 1908 (Patent Reform Act of 2007).,10,1
952,HRES637,Providing for consideration of the conference report to accompany the bill (H.R. 2669) to provide for reconciliation pursuant to section 601 of the concurrent resolution on the budget for fiscal year 2008.,,D,2007-09-06,,,0,0,0,0,Congress,Waives points of order against consideration of the conference report on H.R. 2669 (Higher Education Access Act of 2007).,10,1
953,HR1908,To amend title 35 United States Code to provide for patent reform.,Patent Reform Act of 2007,D,2007-04-18,,,23,9,14,0,Commerce,"Patent Reform Act of 2007 - Amends federal patent law to establish a first-inventor-to file system and to add or revise provisions governing patent review proceedings and patent infringement litigation.(Sec. 3) Adds and expands definitions relating to patents. Defines ""inventor"" as the individual or individuals collectively who invented or discovered the subject matter of the invention and ""joint inventor"" as any one of the individuals who invented or discovered the subject matter of an inven...",33,2
954,HRES257,Supporting the goals and ideals of Pancreatic Cancer Awareness Month.,,R,2007-03-20,,,84,29,55,0,Commemorations,Expresses support for the goals and ideals of Pancreatic Cancer Awareness Month.,10,1
955,HRES643,Recognizing September 11 as a day of rememberance extending sympathies to those who lost their lives on September 11 2001 and their families honoring the heroic actions of our nation's first responders and Armed Forces and reaffirming the commitment to defending the people of the United States against any and all future challenges.,,D,2007-09-10,,,1,1,0,0,Commemorations,Recognizes September 11 as a day to remember those who died in the September 11 2001 terrorist attacks. Extends deepest sympathies to the innocent victims of those attacks and honors the first responders and others who aided the victims.Expresses gratitude to the foreign leaders and citizens who have assisted and who continue to stand in solidarity with the United States against terrorism. Rejects any effort to confuse the war on terrorism with a war on any people or any faith.Honors the U....,7,1
956,HR3246,To amend title 40 United States Code to provide a comprehensive regional approach to economic and infrastructure development in the most severely economically distressed regions in the Nation.,Regional Economic and Infrastructure Development Act of 2007,D,2007-07-31,,,18,2,16,0,Economics and public finance,Regional Economic and Infrastructure Development Act of 2007 - (Sec. 3) Establishes the Delta Regional Commission the Northern Great Plains Regional Commission the Southeast Crescent Regional Commission the Southwest Border Regional Commission and the Northern Border Regional Commission.Directs each Commission for its region to: (1) assess needs and assets; (2) develop comprehensive and coordinated economic infrastructure development strategies to establish and approve grants for econom...,30,3
957,HR1657,To establish a Science and Technology Scholarship Program to award scholarships to recruit and prepare students for careers in the National Weather Service and in National Oceanic and Atmospheric Administration marine research atmospheric research and satellite programs.,,R,2007-03-22,,,5,0,5,0,"Science, technology, communications",Authorizes the Administrator of the National Oceanic and Atmospheric Administration (NOAA) to establish a Science and Technology Scholarship Program to award scholarships to students at institutions of higher education to recruit and prepare them for careers in the National Weather Service and in NOAA marine research atmospheric research and satellite programs. Requires individuals to be selected to receive scholarships under this Act through a competitive process primarily based on academi...,10,1
958,HR3527,To extend for two months the authorities of the Overseas Private Investment Corporation.,,D,2007-09-14,,,0,0,0,0,Foreign trade and international finance,Amends the Foreign Assistance Act of 1961 to extend for two months from September 30 to November 30 2007 the authorities of the Overseas Private Investment Corporation (OPIC).,10,1
959,HRES650,Providing for consideration of the bill (H.R. 1852) to modernize and update the National Housing Act and enable the Federal Housing Administration to use risk-based pricing to more effectively reach underserved borrowers and for other purposes.,,D,2007-09-17,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 1852 (Expanding American Homeownership Act of 2007).,8,2
960,HR1852,To modernize and update the National Housing Act and enable the Federal Housing Administration to use risk-based pricing to more effectively reach underserved borrowers and for other purposes.,Expanding American Homeownership Act of 2007,D,2007-03-29,,,13,0,13,0,Housing and community development,Expanding American Homeownership Act of 2007 - (Sec. 3) Amends the National Housing Act (Act) to: (1) modify requirements governing the maximum principal loan obligation changing it to 125% of the median one-family house price in the area; and (2) extend the mortgage term from 35 to 40 years. (Sec. 5) Revises eligibility criteria for cash down payment for mortgage insurance. Alters the formula for determining the principal obligation to set the loan-to-value (LTV) for a Federal Housing Admin...,39,4
